L1,L2,L3,L4,L5,L6,L7,L8,L_sum,R1,R2,R3,R4,R5,R6,R7,R8,R_sum,label
1.45,1.79,0.77,1.02,1.34,0.77,0.87,0.0,8.010000000000002,0.51,0.51,0.6,0.43,1.53,1.06,1.92,0.39,6.95,0
1.53,1.87,0.68,1.02,1.34,0.77,0.87,0.0,8.080000000000002,0.51,0.51,0.6,0.43,1.53,1.06,1.92,0.39,6.95,0
1.7,1.87,0.68,1.11,1.34,0.77,0.87,0.0,8.34,0.77,1.19,0.77,0.77,0.77,2.87,14.15,4.21,25.5,0
1.7,1.79,0.68,1.11,1.44,0.87,0.87,0.0,8.46,2.13,3.06,1.36,2.04,0.77,6.31,14.82,4.21,34.7,0
1.7,1.7,0.68,1.19,1.06,0.77,0.58,1.44,9.12,3.23,5.18,2.04,3.15,1.73,9.47,14.82,5.84,45.46,0
1.87,0.51,1.45,2.04,0.39,0.2,11.67,14.25,32.38,4.08,6.71,2.72,3.74,2.39,11.09,14.44,5.07,50.239999999999995,0
2.13,3.15,3.4,4.25,0.48,0.77,13.96,16.73,44.870000000000005,4.76,8.58,4.0,5.18,2.59,11.38,11.19,3.54,51.22,0
2.47,3.4,4.42,5.18,0.96,4.88,15.78,20.75,57.84,5.27,10.02,6.03,6.8,2.59,11.38,4.5,2.78,49.37,0
2.55,3.74,4.42,5.18,1.25,4.88,15.49,21.23,58.74,6.03,11.3,9.68,7.73,1.92,9.95,2.2,2.2,51.010000000000005,0
2.55,4.33,3.74,4.59,1.44,3.45,15.01,20.37,55.480000000000004,6.8,11.81,11.55,8.24,0.77,7.56,2.11,1.53,50.37,0
2.3,8.07,3.23,3.49,2.39,2.59,15.21,19.51,56.790000000000006,7.48,11.55,13.5,8.75,0.77,4.98,1.63,1.06,49.72,0
2.55,10.96,2.98,3.15,3.92,2.2,14.25,18.07,58.08,7.48,10.19,14.78,9.68,0.96,3.35,1.73,0.87,49.040000000000006,0
2.98,14.1,4.42,3.23,5.45,2.78,12.72,15.68,61.35999999999999,6.63,7.99,15.03,7.65,1.06,2.49,1.82,0.77,43.44,0
3.83,16.31,8.58,3.83,6.22,4.21,10.52,13.29,66.78999999999999,5.78,4.93,11.21,2.89,1.15,1.34,1.73,0.39,29.42,0
8.66,18.68,13.33,6.88,4.12,4.12,5.84,7.94,69.57,2.64,4.17,2.72,0.77,1.06,1.53,1.82,0.2,14.91,0
10.45,19.19,19.11,7.99,1.25,2.11,1.25,4.02,65.37,2.64,0.26,0.43,0.43,1.25,1.53,1.92,0.2,8.66,0
11.13,19.19,20.04,7.99,0.48,1.44,0.48,1.44,62.19,1.28,0.51,0.51,0.17,1.44,1.73,2.01,0.2,7.85,0
11.3,17.24,10.7,2.98,0.77,0.96,0.48,0.29,44.72,0.68,0.51,0.51,0.17,1.44,1.73,2.01,0.29,7.34,0
2.13,13.5,7.73,1.45,1.06,0.77,0.58,0.0,27.22,0.43,0.51,0.51,0.26,1.44,1.82,2.11,0.29,7.37,0
0.6,3.74,3.15,0.94,0.96,0.58,0.67,0.0,10.64,0.43,0.51,0.43,0.34,1.53,1.82,2.11,0.39,7.56,0
1.45,1.45,1.79,0.94,1.06,0.58,0.87,0.0,8.14,0.43,0.43,0.43,0.34,1.53,2.01,2.11,0.48,7.76,0
1.62,1.45,0.94,0.85,1.25,0.58,0.77,0.0,7.460000000000001,0.51,0.6,0.51,0.34,1.53,2.01,2.11,0.39,8.0,0
1.62,1.45,0.94,0.85,1.25,0.58,0.77,0.0,7.460000000000001,0.51,0.51,0.51,0.43,1.53,1.82,2.2,0.39,7.9,0
1.7,1.45,0.94,0.85,1.25,0.58,0.77,0.0,7.539999999999999,0.51,0.26,0.51,0.34,1.53,0.96,1.44,0.67,6.22,0
1.79,1.45,1.11,1.02,1.25,0.67,0.77,0.0,8.06,0.43,0.17,0.51,0.26,0.39,2.2,11.38,4.88,20.220000000000002,0
1.87,1.36,1.02,1.11,1.15,0.77,0.58,0.1,7.96,0.85,1.79,1.02,1.45,0.48,4.88,13.87,3.54,27.88,0
2.13,3.66,2.04,2.3,0.67,0.39,11.0,13.1,35.29,1.7,3.15,1.53,3.15,0.67,9.47,14.44,4.78,38.89,0
2.13,3.66,2.04,2.3,0.67,0.39,11.0,13.1,35.29,1.7,3.15,1.53,3.15,0.67,9.47,14.44,4.78,38.89,0
2.89,10.53,9.51,5.01,2.2,3.54,12.34,15.21,61.23,3.66,6.71,4.42,7.05,2.2,12.82,11.76,4.21,52.83,0
3.15,11.13,11.13,6.54,2.68,5.55,11.96,14.92,67.06,3.66,6.71,4.42,7.05,2.2,12.82,11.76,4.21,52.83,0
3.23,11.38,12.15,7.73,2.78,7.08,11.29,14.54,70.18,4.84,7.99,7.22,8.07,2.2,11.86,2.87,2.97,48.019999999999996,0
3.4,11.64,13.08,8.75,2.78,7.65,10.71,13.48,71.49000000000001,4.84,7.99,7.22,8.07,2.2,11.86,2.87,2.97,48.019999999999996,0
3.66,12.66,13.76,9.68,2.87,7.94,9.95,12.72,73.24000000000001,6.12,10.87,12.06,9.09,1.15,10.14,2.01,1.63,53.07,0
4.0,14.1,14.69,9.51,3.45,7.65,9.37,11.95,74.72,6.12,10.87,12.06,9.09,1.15,10.14,2.01,1.63,53.07,0
